================ Precision Log (Fri Apr 11 21:30:00 2025) ================
Epoch:1180  sam 1.6789474487304688,psnr 35.77152633666992,ergas 0.378632323148575,cc 0.9881135838899298,rmse 0.012769575573245137,Ssim 0.9695788345372497,Uqi 0.9983725349598535
Epoch:1190  sam 1.675162672996521,psnr 35.79398727416992,ergas 0.37769258630883223,cc 0.9881587453273469,rmse 0.012739656822621305,Ssim 0.9697143744306067,Uqi 0.9983816996689256
Epoch:1200  sam 1.671544075012207,psnr 35.819618225097656,ergas 0.3767178209897634,cc 0.988204906534777,rmse 0.01270387385614509,Ssim 0.9698508891855979,Uqi 0.9983915260486418
Epoch:1210  sam 1.6678745746612549,psnr 35.841854095458984,ergas 0.37573177499772586,cc 0.9882509233406694,rmse 0.012676555305111416,Ssim 0.9699935759238769,Uqi 0.998401014763469
Epoch:1220  sam 1.6643152236938477,psnr 35.86610412597656,ergas 0.3748048070911711,cc 0.988296306216731,rmse 0.012645242993387092,Ssim 0.9701280824295416,Uqi 0.9984099404537479
Epoch:1230  sam 1.660732388496399,psnr 35.901737213134766,ergas 0.3734300708112513,cc 0.9883403669828899,rmse 0.012596411224719634,Ssim 0.9702605999720516,Uqi 0.9984244806057494
Epoch:1240  sam 1.6572716236114502,psnr 35.91981887817383,ergas 0.37272218742655483,cc 0.9883841604298843,rmse 0.012572342515300861,Ssim 0.9703938390882622,Uqi 0.9984313964808456
Epoch:1250  sam 1.6538820266723633,psnr 35.946144104003906,ergas 0.3716798309052064,cc 0.9884288197699049,rmse 0.012538966912867365,Ssim 0.970532170218733,Uqi 0.998441443437608
Epoch:1260  sam 1.650281548500061,psnr 35.980892181396484,ergas 0.3702988985510379,cc 0.9884725048600672,rmse 0.012503251881150701,Ssim 0.9706743793535245,Uqi 0.998454834803708
Epoch:1270  sam 1.647099256515503,psnr 36.0101203918457,ergas 0.3692767187503319,cc 0.9885170106102845,rmse 0.012459893897406453,Ssim 0.9708108953996815,Uqi 0.9984636109755508
Epoch:1280  sam 1.6437138319015503,psnr 36.02229690551758,ergas 0.36866397272631196,cc 0.988557942008444,rmse 0.012450351544932726,Ssim 0.9709176515424125,Uqi 0.9984708467875915
Epoch:1290  sam 1.6411887407302856,psnr 36.04072952270508,ergas 0.3684303234587196,cc 0.9885954805555756,rmse 0.012398829592224657,Ssim 0.970993575663447,Uqi 0.9984745580365924
Epoch:1300  sam 1.6365424394607544,psnr 36.08308792114258,ergas 0.36637251639408913,cc 0.9886335008889683,rmse 0.01237429531273081,Ssim 0.9711074277111059,Uqi 0.9984989388869318
Epoch:1310  sam 1.6348049640655518,psnr 36.12604522705078,ergas 0.3650818253744933,cc 0.9886826554880166,rmse 0.012306881284871965,Ssim 0.9712827265237427,Uqi 0.9985048984929792
Epoch:1320  sam 1.6330043077468872,psnr 36.12405776977539,ergas 0.3644622158786007,cc 0.9887249377007747,rmse 0.012378974465644847,Ssim 0.9714591246536247,Uqi 0.9985067226115197
Epoch:1330  sam 1.628783106803894,psnr 36.27320861816406,ergas 0.360871911971735,cc 0.9887790649946865,rmse 0.012065796580206418,Ssim 0.9715865647669203,Uqi 0.9985460338038914
Epoch:1340  sam 1.6299525499343872,psnr 36.05809783935547,ergas 0.3664032675271627,cc 0.9887771181321745,rmse 0.012491335043721801,Ssim 0.9714885789555425,Uqi 0.998497420842295
Epoch:1350  sam 1.6406137943267822,psnr 36.40719223022461,ergas 0.35739837451936013,cc 0.9888952948495432,rmse 0.011919187395592078,Ssim 0.97199310284914,Uqi 0.9985697884921918
Epoch:1360  sam 1.9085074663162231,psnr 34.70783233642578,ergas 0.4493821931701221,cc 0.988747174596952,rmse 0.01419256730678745,Ssim 0.9721356480886107,Uqi 0.9977006872164742
Epoch:1370  sam 1.6328626871109009,psnr 36.788970947265625,ergas 0.3432925707714604,cc 0.9889030931151348,rmse 0.01140095895605187,Ssim 0.9726691978499068,Uqi 0.9986256237178922
Epoch:1380  sam 1.6258151531219482,psnr 36.97176742553711,ergas 0.33734756901294705,cc 0.9889434532108916,rmse 0.011292730896719843,Ssim 0.9724371585999725,Uqi 0.9987378767070423
Epoch:1390  sam 1.6391363143920898,psnr 35.619956970214844,ergas 0.3912750793896576,cc 0.9888646307883261,rmse 0.012751038041740957,Ssim 0.9713677647336271,Uqi 0.9982718740816198
Epoch:1400  sam 2.2355430126190186,psnr 35.073753356933594,ergas 0.40415155721460794,cc 0.9888393321087187,rmse 0.014022047539211976,Ssim 0.9712187399896957,Uqi 0.9980465689495838
Epoch:1410  sam 1.7367727756500244,psnr 36.97267150878906,ergas 0.3388518752807578,cc 0.9889183719090487,rmse 0.011287078611400315,Ssim 0.9723513330882821,Uqi 0.9987028050101169
Epoch:1420  sam 1.6290080547332764,psnr 36.4277229309082,ergas 0.3578330340265433,cc 0.9890846326134513,rmse 0.011852603238403078,Ssim 0.9723923825334635,Uqi 0.9985427054226557
Epoch:1430  sam 1.5949923992156982,psnr 36.619388580322266,ergas 0.3477776478888877,cc 0.9890956812063394,rmse 0.01170807026056838,Ssim 0.9722708026707907,Uqi 0.9987008972078745
